Sequence Length,Hidden Size,Num Layers,Learning Rate,RMSE,MAE
10,32,1,0.001,1.2015085136280215,0.9411352872848511
10,32,2,0.001,1.1780316181764656,0.9141008853912354
10,32,3,0.001,1.268024007612086,0.9905071258544922
10,64,1,0.001,1.2178605575417765,0.9746178388595581
10,64,2,0.001,1.2221398771367047,0.9622265696525574
10,64,3,0.001,1.2128187271897963,0.9604809284210205
10,128,1,0.001,1.1720175592812638,0.9264329075813293
10,128,2,0.001,1.2414778595731144,0.9634000062942505
10,128,3,0.001,1.1871259501769629,0.8991599678993225
10,256,1,0.001,1.2770159939576118,1.0311280488967896
10,256,2,0.001,1.23397980170204,0.9657092094421387
10,256,3,0.001,1.1863194168570077,0.911805272102356
20,32,1,0.001,1.1951850374365294,0.921416699886322
20,32,2,0.001,1.2287808421582405,0.9733428359031677
20,32,3,0.001,1.261168415996121,1.0042544603347778
20,64,1,0.001,1.223468644682353,0.954779326915741
20,64,2,0.001,1.2088514510681252,0.9609830379486084
20,64,3,0.001,1.2217238896192668,0.9536575078964233
20,128,1,0.001,1.1846529309927825,0.9135364294052124
20,128,2,0.001,1.29150450621737,1.033583402633667
20,128,3,0.001,1.2392123118555474,0.986900806427002
20,256,1,0.001,1.2196709503372447,0.9489541053771973
20,256,2,0.001,1.249011650357913,0.9671972990036011
20,256,3,0.001,1.2718931791988675,1.016945242881775
30,32,1,0.001,1.1895383606987173,0.9322165250778198
30,32,2,0.001,1.1441609170819709,0.8834178447723389
30,32,3,0.001,1.1902034503861754,0.9300075173377991
30,64,1,0.001,1.1899911950691235,0.9237327575683594
30,64,2,0.001,1.2908583183078772,1.0274658203125
30,64,3,0.001,1.3049977556114336,1.060084581375122
30,128,1,0.001,1.208472419275684,0.9468292593955994
30,128,2,0.001,1.3048527778511432,1.0460357666015625
30,128,3,0.001,1.304921751636115,1.0457274913787842
30,256,1,0.001,1.1666071172684493,0.8962065577507019
30,256,2,0.001,1.2233863089071797,0.97661292552948
30,256,3,0.001,1.2144979493809769,0.9420183897018433
