Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,SO2,NOX,NO2,CO,RSP,O3,FSP
01-04-1991,MONG KOK,42,218,70,147,N.A.,N.A.,N.A.
02-04-1991,MONG KOK,48,269,99,154,N.A.,N.A.,N.A.
03-04-1991,MONG KOK,41,242,98,124,N.A.,N.A.,N.A.
04-04-1991,MONG KOK,45,271,98,132,N.A.,N.A.,N.A.
05-04-1991,MONG KOK,32,221,89,112,N.A.,N.A.,N.A.
06-04-1991,MONG KOK,67,416,101,231,N.A.,N.A.,N.A.
07-04-1991,MONG KOK,59,302,94,176,N.A.,N.A.,N.A.
08-04-1991,MONG KOK,47,337,94,184,N.A.,N.A.,N.A.
09-04-1991,MONG KOK,46,336,73,192,N.A.,N.A.,N.A.
10-04-1991,MONG KOK,24,244,45,N.A.,N.A.,N.A.,N.A.
11-04-1991,MONG KOK,62,205,41,N.A.,N.A.,N.A.,N.A.
12-04-1991,MONG KOK,39,229,44,N.A.,N.A.,N.A.,N.A.
13-04-1991,MONG KOK,36,275,58,N.A.,N.A.,N.A.,N.A.
14-04-1991,MONG KOK,37,247,81,134,N.A.,N.A.,N.A.
15-04-1991,MONG KOK,50,292,101,169,N.A.,N.A.,N.A.
16-04-1991,MONG KOK,41,287,91,155,N.A.,N.A.,N.A.
17-04-1991,MONG KOK,31,293,71,150,N.A.,N.A.,N.A.
18-04-1991,MONG KOK,54,348,79,154,N.A.,N.A.,N.A.
19-04-1991,MONG KOK,62,344,92,173,N.A.,N.A.,N.A.
20-04-1991,MONG KOK,53,326,98,189,N.A.,N.A.,N.A.
21-04-1991,MONG KOK,34,217,80,121,N.A.,N.A.,N.A.
22-04-1991,MONG KOK,55,309,110,181,N.A.,N.A.,N.A.
23-04-1991,MONG KOK,52,300,121,149,N.A.,N.A.,N.A.
24-04-1991,MONG KOK,55,298,132,135,N.A.,N.A.,N.A.
25-04-1991,MONG KOK,43,255,100,134,N.A.,N.A.,N.A.
26-04-1991,MONG KOK,41,225,73,126,N.A.,N.A.,N.A.
27-04-1991,MONG KOK,38,227,75,129,N.A.,N.A.,N.A.
28-04-1991,MONG KOK,23,208,70,111,N.A.,N.A.,N.A.
29-04-1991,MONG KOK,30,283,69,149,N.A.,N.A.,N.A.
30-04-1991,MONG KOK,16,256,86,134,N.A.,N.A.,N.A.
01-05-1991,MONG KOK,15,224,71,129,N.A.,N.A.,N.A.
02-05-1991,MONG KOK,39,239,79,157,N.A.,N.A.,N.A.
03-05-1991,MONG KOK,43,253,96,148,N.A.,N.A.,N.A.
04-05-1991,MONG KOK,26,268,91,168,N.A.,N.A.,N.A.
05-05-1991,MONG KOK,16,239,76,132,N.A.,N.A.,N.A.
06-05-1991,MONG KOK,25,260,52,168,N.A.,N.A.,N.A.
07-05-1991,MONG KOK,30,302,48,162,N.A.,N.A.,N.A.
08-05-1991,MONG KOK,96,294,70,244,N.A.,N.A.,N.A.
09-05-1991,MONG KOK,56,250,61,188,N.A.,N.A.,N.A.
10-05-1991,MONG KOK,37,238,82,126,N.A.,N.A.,N.A.
11-05-1991,MONG KOK,36,232,84,123,N.A.,N.A.,N.A.
12-05-1991,MONG KOK,45,243,64,122,N.A.,N.A.,N.A.
13-05-1991,MONG KOK,55,294,71,158,N.A.,N.A.,N.A.
14-05-1991,MONG KOK,55,281,76,159,N.A.,N.A.,N.A.
15-05-1991,MONG KOK,65,284,76,140,N.A.,N.A.,N.A.
16-05-1991,MONG KOK,52,314,89,169,N.A.,N.A.,N.A.
17-05-1991,MONG KOK,26,241,64,132,N.A.,N.A.,N.A.
18-05-1991,MONG KOK,27,238,41,147,N.A.,N.A.,N.A.
19-05-1991,MONG KOK,16,148,23,99,N.A.,N.A.,N.A.
20-05-1991,MONG KOK,30,232,26,122,N.A.,N.A.,N.A.
21-05-1991,MONG KOK,35,239,33,114,N.A.,N.A.,N.A.
22-05-1991,MONG KOK,27,166,24,91,N.A.,N.A.,N.A.
23-05-1991,MONG KOK,34,185,24,95,N.A.,N.A.,N.A.
24-05-1991,MONG KOK,37,202,26,96,N.A.,N.A.,N.A.
25-05-1991,MONG KOK,40,206,25,113,N.A.,N.A.,N.A.
26-05-1991,MONG KOK,57,207,27,86,N.A.,N.A.,N.A.
27-05-1991,MONG KOK,45,282,48,126,N.A.,N.A.,N.A.
28-05-1991,MONG KOK,31,216,37,103,N.A.,N.A.,N.A.
29-05-1991,MONG KOK,32,255,42,125,N.A.,N.A.,N.A.
30-05-1991,MONG KOK,26,213,34,114,N.A.,N.A.,N.A.
31-05-1991,MONG KOK,28,224,26,114,N.A.,N.A.,N.A.
01-06-1991,MONG KOK,29,219,34,139,N.A.,N.A.,N.A.
02-06-1991,MONG KOK,24,179,33,89,N.A.,N.A.,N.A.
03-06-1991,MONG KOK,48,257,42,117,N.A.,N.A.,N.A.
04-06-1991,MONG KOK,38,226,39,106,N.A.,N.A.,N.A.
05-06-1991,MONG KOK,41,262,38,121,N.A.,N.A.,N.A.
06-06-1991,MONG KOK,32,221,37,97,N.A.,N.A.,N.A.
07-06-1991,MONG KOK,40,235,43,115,N.A.,N.A.,N.A.
08-06-1991,MONG KOK,31,283,41,140,N.A.,N.A.,N.A.
09-06-1991,MONG KOK,22,251,38,122,N.A.,N.A.,N.A.
10-06-1991,MONG KOK,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
11-06-1991,MONG KOK,34,268,44,137,N.A.,N.A.,N.A.
12-06-1991,MONG KOK,41,238,36,123,N.A.,N.A.,N.A.
13-06-1991,MONG KOK,44,299,39,150,N.A.,N.A.,N.A.
14-06-1991,MONG KOK,36,258,37,116,N.A.,N.A.,N.A.
15-06-1991,MONG KOK,32,193,32,115,N.A.,N.A.,N.A.
16-06-1991,MONG KOK,51,162,29,N.A.,N.A.,N.A.,N.A.
17-06-1991,MONG KOK,31,158,32,N.A.,N.A.,N.A.,N.A.
18-06-1991,MONG KOK,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
19-06-1991,MONG KOK,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
20-06-1991,MONG KOK,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
21-06-1991,MONG KOK,64,276,59,N.A.,N.A.,N.A.,N.A.
22-06-1991,MONG KOK,67,325,69,N.A.,N.A.,N.A.,N.A.
23-06-1991,MONG KOK,38,224,59,N.A.,N.A.,N.A.,N.A.
24-06-1991,MONG KOK,32,240,69,N.A.,N.A.,N.A.,N.A.
25-06-1991,MONG KOK,73,335,94,N.A.,N.A.,N.A.,N.A.
26-06-1991,MONG KOK,33,331,72,N.A.,N.A.,N.A.,N.A.
27-06-1991,MONG KOK,59,348,66,N.A.,N.A.,N.A.,N.A.
28-06-1991,MONG KOK,43,271,43,N.A.,N.A.,N.A.,N.A.
29-06-1991,MONG KOK,43,257,40,N.A.,N.A.,N.A.,N.A.
30-06-1991,MONG KOK,47,206,31,N.A.,N.A.,N.A.,N.A.
01-07-1991,MONG KOK,42,230,38,N.A.,N.A.,N.A.,N.A.
02-07-1991,MONG KOK,33,221,42,N.A.,N.A.,N.A.,N.A.
03-07-1991,MONG KOK,27,188,43,N.A.,N.A.,N.A.,N.A.
04-07-1991,MONG KOK,30,193,39,N.A.,N.A.,N.A.,N.A.
05-07-1991,MONG KOK,38,199,41,N.A.,N.A.,N.A.,N.A.
06-07-1991,MONG KOK,46,208,40,N.A.,N.A.,N.A.,N.A.
07-07-1991,MONG KOK,35,170,30,N.A.,N.A.,N.A.,N.A.
08-07-1991,MONG KOK,43,218,33,N.A.,N.A.,N.A.,N.A.
09-07-1991,MONG KOK,54,279,41,N.A.,N.A.,N.A.,N.A.
10-07-1991,MONG KOK,47,254,43,N.A.,N.A.,N.A.,N.A.
11-07-1991,MONG KOK,36,238,38,N.A.,N.A.,N.A.,N.A.
12-07-1991,MONG KOK,30,233,44,N.A.,N.A.,N.A.,N.A.
13-07-1991,MONG KOK,27,250,47,N.A.,N.A.,N.A.,N.A.
14-07-1991,MONG KOK,26,219,42,N.A.,N.A.,N.A.,N.A.
15-07-1991,MONG KOK,37,249,36,N.A.,N.A.,N.A.,N.A.
16-07-1991,MONG KOK,39,240,41,N.A.,N.A.,N.A.,N.A.
17-07-1991,MONG KOK,71,300,58,N.A.,N.A.,N.A.,N.A.
18-07-1991,MONG KOK,73,341,81,N.A.,N.A.,N.A.,N.A.
19-07-1991,MONG KOK,207,425,77,N.A.,N.A.,N.A.,N.A.
20-07-1991,MONG KOK,83,215,27,N.A.,N.A.,N.A.,N.A.
21-07-1991,MONG KOK,42,216,31,N.A.,N.A.,N.A.,N.A.
22-07-1991,MONG KOK,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
23-07-1991,MONG KOK,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
