Typhoon,ZEKE,1,8:50,12-Jul-91,22:40,12-Jul-91,13 50
Typhoon,ZEKE,3,22:40,12-Jul-91,7:10,13-Jul-91,08 30
Typhoon (Super Typhoon),AMY,1,22:45,18-Jul-91,11:10,19-Jul-91,12 25
Typhoon (Super Typhoon),AMY,3,11:10,19-Jul-91,10:10,20-Jul-91,23 00
Severe Tropical Storm,BRENDAN,1,22:10,22-Jul-91,10:00,23-Jul-91,11 50
Severe Tropical Storm,BRENDAN,3,10:00,23-Jul-91,21:00,23-Jul-91,11 00
Severe Tropical Storm,BRENDAN,8 NE,21:00,23-Jul-91,3:20,24-Jul-91,06 20
Severe Tropical Storm,BRENDAN,8 SE,3:20,24-Jul-91,10:00,24-Jul-91,06 40
Severe Tropical Storm,BRENDAN,3,10:00,24-Jul-91,15:10,24-Jul-91,05 10
Typhoon,FRED,1,23:15,13-Aug-91,19:10,14-Aug-91,19 55
Typhoon,FRED,3,19:10,14-Aug-91,5:00,16-Aug-91,33 50
Severe Tropical Storm,JOEL,1,21:45,3-Sep-91,22:30,4-Sep-91,24 45
Severe Tropical Storm,JOEL,3,22:30,4-Sep-91,9:30,7-Sep-91,59 00
Typhoon (Severe Typhoon),NAT,1,19:30,16-Sep-91,11:15,18-Sep-91,39 45
Typhoon (Severe Typhoon),NAT,1,13:30,23-Sep-91,14:30,25-Sep-91,49 00
Typhoon (Severe Typhoon),NAT,1,21:45,29-Sep-91,22:40,30-Sep-91,24 55
Typhoon,CHUCK,1,8:50,27-Jun-92,20:15,27-Jun-92,11 25
Typhoon,CHUCK,3,20:15,27-Jun-92,14:00,28-Jun-92,17 45
Typhoon,ELI,1,20:30,11-Jul-92,10:00,12-Jul-92,13 30
Typhoon,ELI,3,10:00,12-Jul-92,9:45,13-Jul-92,23 45
Tropical Storm,FAYE,1,9:00,17-Jul-92,23:50,17-Jul-92,14 50
Tropical Storm,FAYE,3,23:50,17-Jul-92,16:05,18-Jul-92,16 15
Severe Tropical Storm,GARY,1,22:30,20-Jul-92,15:45,21-Jul-92,17 15
Severe Tropical Storm,GARY,3,15:45,21-Jul-92,5:45,22-Jul-92,14 00
Severe Tropical Storm,GARY,8 NE,5:45,22-Jul-92,11:00,22-Jul-92,05 15
Severe Tropical Storm,GARY,8 SE,11:00,22-Jul-92,16:15,22-Jul-92,05 15
Severe Tropical Storm,GARY,3,16:15,22-Jul-92,18:50,22-Jul-92,02 35
Tropical Storm,MARK,1,10:15,16-Aug-92,11:30,17-Aug-92,25 15
Typhoon (Severe Typhoon),KORYN,1,15:10,26-Jun-93,3:30,27-Jun-93,12 20
Typhoon (Severe Typhoon),KORYN,3,3:30,27-Jun-93,10:30,27-Jun-93,07 00
Typhoon (Severe Typhoon),KORYN,8 NE,10:30,27-Jun-93,16:30,27-Jun-93,06 00
Typhoon (Severe Typhoon),KORYN,8 SE,16:30,27-Jun-93,22:25,27-Jun-93,05 55
Typhoon (Severe Typhoon),KORYN,3,22:25,27-Jun-93,4:15,28-Jun-93,05 50
Severe Tropical Storm,LEWIS,1,0:05,10-Jul-93,22:00,10-Jul-93,21 55
Typhoon,TASHA,1,16:15,18-Aug-93,10:45,19-Aug-93,18 30
Typhoon,TASHA,3,10:45,19-Aug-93,16:00,20-Aug-93,29 15
Typhoon,TASHA,8 SE,16:00,20-Aug-93,0:30,21-Aug-93,08 30
Typhoon,TASHA,3,0:30,21-Aug-93,9:40,21-Aug-93,09 10
Tropical Storm,WINONA,1,22:30,25-Aug-93,15:45,26-Aug-93,17 15
Typhoon (Severe Typhoon),ABE,1,9:50,12-Sep-93,7:50,14-Sep-93,46 00
Severe Tropical Storm,BECKY,1,9:30,16-Sep-93,22:30,16-Sep-93,13 00
Severe Tropical Storm,BECKY,3,22:30,16-Sep-93,2:50,17-Sep-93,04 20
Severe Tropical Storm,BECKY,8 NE,2:50,17-Sep-93,7:30,17-Sep-93,04 40
Severe Tropical Storm,BECKY,8 SE,7:30,17-Sep-93,15:10,17-Sep-93,07 40
Severe Tropical Storm,BECKY,3,15:10,17-Sep-93,17:00,17-Sep-93,01 50
Typhoon,DOT,3,16:15,25-Sep-93,9:15,26-Sep-93,17 00
Typhoon,DOT,8 SE,9:15,26-Sep-93,16:00,26-Sep-93,06 45
Typhoon,DOT,3,16:00,26-Sep-93,18:00,26-Sep-93,02 00
Tropical Depression,no name,1,16:45,12-Oct-93,16:45,13-Oct-93,24 00
Typhoon (Severe Typhoon),IRA,1,15:50,2-Nov-93,4:10,4-Nov-93,36 20
Typhoon (Severe Typhoon),IRA,3,4:10,4-Nov-93,0:35,5-Nov-93,20 25
Severe Tropical Storm,RUSS,1,10:10,5-Jun-94,20:30,6-Jun-94,34 20
Severe Tropical Storm,RUSS,3,20:30,6-Jun-94,15:45,7-Jun-94,19 15
Tropical Storm,SHARON,1,10:50,24-Jun-94,6:30,25-Jun-94,19 40
Severe Tropical Storm,HARRY,1,22:50,25-Aug-94,16:15,26-Aug-94,17 25
Severe Tropical Storm,HARRY,3,16:15,26-Aug-94,11:45,27-Aug-94,19 30
Tropical Storm,LUKE,1,7:50,11-Sep-94,22:30,11-Sep-94,14 40
Tropical Storm,LUKE,3,22:30,11-Sep-94,11:50,12-Sep-94,13 20
Severe Tropical Storm,GARY,1,15:45,28-Jul-95,14:30,31-Jul-95,70 45
Severe Tropical Storm,HELEN,1,16:00,9-Aug-95,5:45,11-Aug-95,37 45
Severe Tropical Storm,HELEN,3,5:45,11-Aug-95,22:30,11-Aug-95,16 45
Severe Tropical Storm,HELEN,8 NE,22:30,11-Aug-95,4:30,12-Aug-95,06 00
Severe Tropical Storm,HELEN,8 NW,4:30,12-Aug-95,9:45,12-Aug-95,05 15
Severe Tropical Storm,HELEN,8 SW,9:45,12-Aug-95,14:15,12-Aug-95,04 30
Severe Tropical Storm,HELEN,3,14:15,12-Aug-95,17:30,12-Aug-95,03 15
Tropical Storm,IRVING,1,12:30,18-Aug-95,23:45,19-Aug-95,35 15
Severe Tropical Storm,LOIS,1,13:15,27-Aug-95,9:35,28-Aug-95,20 20
Typhoon (Severe Typhoon),KENT,1,12:00,30-Aug-95,4:00,31-Aug-95,16 00
Typhoon (Severe Typhoon),KENT,3,4:00,31-Aug-95,13:00,31-Aug-95,09 00
Typhoon (Severe Typhoon),KENT,8 NW,13:00,31-Aug-95,16:45,31-Aug-95,03 45
Typhoon (Severe Typhoon),KENT,8 SW,16:45,31-Aug-95,21:00,31-Aug-95,04 15
Typhoon (Severe Typhoon),KENT,3,21:00,31-Aug-95,0:15,1-Sep-95,03 15
Tropical Storm,NINA,1,9:45,6-Sep-95,10:15,7-Sep-95,24 30
Typhoon (Severe Typhoon),RYAN,1,22:15,19-Sep-95,11:30,21-Sep-95,37 15
Typhoon,SIBYL,1,17:45,1-Oct-95,12:30,2-Oct-95,18 45
Typhoon,SIBYL,3,12:30,2-Oct-95,5:10,3-Oct-95,16 40
Typhoon,SIBYL,8 SE,5:10,3-Oct-95,11:30,3-Oct-95,06 20
Typhoon,SIBYL,3,11:30,3-Oct-95,20:45,3-Oct-95,09 15
Severe Tropical Storm,FRANKIE,1,14:30,21-Jul-96,22:30,22-Jul-96,32 00
Typhoon,GLORIA,1,11:30,26-Jul-96,6:45,27-Jul-96,19 15
Tropical Depression,LISA,1,9:00,6-Aug-96,20:30,6-Aug-96,11 30
Typhoon,NIKI,1,9:45,20-Aug-96,22:45,21-Aug-96,37 00
Typhoon (Severe Typhoon),SALLY,1,5:00,8-Sep-96,17:00,8-Sep-96,12 00
Typhoon (Severe Typhoon),SALLY,3,17:00,8-Sep-96,2:15,9-Sep-96,09 15
