,Year,Month,Day,Intensity,Signal,Duration
0,1991,7,12,4,2,1340
1,1991,7,18,6,1,745
2,1991,7,19,6,2,1380
3,1991,7,22,3,1,710
4,1991,7,23,3,3,1040
5,1991,7,24,3,3,710
6,1991,8,13,4,1,1195
7,1991,8,14,4,2,2030
8,1991,9,16,5,1,2385
9,1991,9,23,5,1,2940
10,1991,9,29,5,1,1495
11,1991,9,3,3,1,1485
12,1991,9,4,3,2,3540
13,1992,6,27,4,2,1750
14,1992,7,11,4,1,810
15,1992,7,12,4,2,1425
16,1992,7,17,2,2,1865
17,1992,7,20,3,1,1035
18,1992,7,21,3,2,840
19,1992,7,22,3,3,785
20,1992,8,16,2,1,1515
21,1993,6,26,5,1,740
22,1993,6,27,5,3,1485
23,1993,7,10,3,1,1315
24,1993,8,18,4,1,1110
25,1993,8,19,4,2,1755
26,1993,8,20,4,3,510
27,1993,8,21,4,2,550
28,1993,8,25,2,1,1035
29,1993,9,12,5,1,2760
30,1993,9,16,3,2,1040
31,1993,9,17,3,3,850
32,1993,9,25,4,2,1020
33,1993,9,26,4,3,525
34,1993,10,12,1,1,1440
35,1993,11,2,5,1,2180
36,1993,11,4,5,2,1225
37,1994,6,24,2,1,1180
38,1994,6,5,3,1,2060
39,1994,6,6,3,2,1155
40,1994,8,25,3,1,1045
41,1994,8,26,3,2,1170
42,1994,9,11,2,2,1680
43,1995,7,28,3,1,4245
44,1995,8,11,3,3,1365
45,1995,8,12,3,3,780
46,1995,8,18,2,1,2115
47,1995,8,27,3,1,1220
48,1995,8,30,5,1,960
49,1995,8,31,5,3,1215
50,1995,8,9,3,1,2265
51,1995,9,19,5,1,2235
52,1995,9,6,2,1,1470
53,1995,10,1,4,1,1125
54,1995,10,2,4,2,1000
55,1995,10,3,4,3,935
56,1996,7,21,3,1,1920
57,1996,7,26,4,1,1155
58,1996,8,20,4,1,2220
59,1996,8,6,1,1,690
60,1996,9,18,3,1,2025
61,1996,9,8,5,2,1275
62,1996,9,9,5,3,480
63,1996,10,19,4,1,1575
64,1997,7,31,4,1,1200
65,1997,8,1,4,2,1560
66,1997,8,2,4,4,930
67,1997,8,20,4,1,765
68,1997,8,21,4,2,1320
69,1997,8,3,4,2,75
70,1998,8,21,1,1,1310
71,1998,8,9,3,2,2230
72,1998,9,12,1,1,2055
73,1998,10,15,6,1,1445
74,1998,10,23,5,1,1525
75,1998,10,24,5,2,2750
76,1999,4,29,4,1,1835
77,1999,4,30,4,2,2715
78,1999,5,2,4,3,435
79,1999,6,5,4,1,870
80,1999,6,6,4,2,615
81,1999,6,7,4,4,990
82,1999,6,8,4,2,780
83,1999,7,25,2,1,2100
84,1999,7,26,2,2,900
85,1999,8,20,4,1,2055
86,1999,8,22,4,3,1520
87,1999,8,23,4,2,1030
88,1999,9,13,4,1,2850
89,1999,9,15,4,2,1020
90,1999,9,16,4,5,1290
91,1999,9,24,3,1,1800
92,1999,9,25,3,2,820
93,1999,9,26,3,3,600
94,1999,9,3,2,1,1895
95,1999,10,5,4,1,1970
96,1999,10,7,4,2,3110
97,2000,6,18,1,2,270
98,2000,7,15,1,1,1840
99,2000,7,6,4,1,3715
100,2000,8,23,6,1,795
101,2000,8,27,3,1,2320
102,2000,8,31,3,1,915
103,2000,9,1,3,2,710
104,2000,9,6,4,1,1920
105,2000,9,7,4,2,1920
106,2000,11,4,3,1,5340
107,2001,6,22,4,1,1260
108,2001,6,30,4,2,2980
109,2001,7,23,4,1,1080
110,2001,7,24,4,2,520
111,2001,7,25,4,3,1785
112,2001,7,4,4,1,1020
113,2001,7,5,4,3,1375
114,2001,7,6,4,3,1540
115,2001,8,28,2,1,1830
116,2001,9,19,4,1,1350
117,2001,9,20,4,2,475
118,2002,8,17,3,1,3345
119,2002,8,3,3,1,2980
120,2002,9,10,3,1,900
121,2002,9,11,3,3,1200
122,2002,9,12,3,2,240
123,2003,7,20,3,1,2315
124,2003,7,22,6,1,1040
125,2003,7,23,6,3,935
126,2003,7,24,6,3,445
127,2003,8,23,4,1,1560
128,2003,8,24,4,2,1440
129,2003,9,1,5,1,745
130,2003,9,2,5,4,890
131,2003,9,3,5,2,110
132,2004,6,8,4,1,855
133,2004,7,14,2,1,1820
134,2004,7,16,2,3,905
135,2004,8,26,4,1,1075
136,2005,8,12,3,1,1925
137,2005,9,17,2,1,1020
138,2005,9,22,5,1,2760
139,2005,9,24,5,2,2860
140,2006,5,15,6,1,2015
141,2006,5,17,6,2,1285
142,2006,6,27,2,1,1980
143,2006,8,1,4,1,1690
144,2006,8,2,4,2,2240
145,2006,8,24,1,1,1150
146,2006,8,4,4,1,600
147,2006,8,9,3,1,2250
148,2006,9,12,1,1,1255
149,2006,9,13,1,2,335
150,2006,10,31,6,1,4270
151,2007,8,10,3,3,1070
152,2007,8,11,3,1,410
153,2007,8,8,3,1,1260
154,2007,8,9,3,2,515
155,2007,9,23,2,1,1955
156,2008,4,17,4,1,1705
157,2008,4,18,4,2,1730
158,2008,6,23,5,1,1980
159,2008,6,24,5,3,485
160,2008,6,25,5,3,1290
161,2008,8,20,4,1,1585
162,2008,8,21,4,2,660
163,2008,8,22,4,4,1020
164,2008,8,23,4,3,635
165,2008,8,4,3,1,1980
166,2008,8,5,3,2,625
167,2008,8,6,3,3,1355
168,2008,8,7,3,1,180
169,2008,9,22,5,1,945
170,2008,9,23,5,3,855
171,2008,9,24,5,3,730
172,2008,10,2,2,1,3060
173,2009,6,20,3,1,1145
174,2009,6,26,2,2,1330
175,2009,7,10,2,1,1240
176,2009,7,11,2,2,955
177,2009,7,17,4,1,960
178,2009,7,18,4,3,675
179,2009,7,19,4,4,705
180,2009,8,3,3,1,1200
181,2009,8,4,3,3,985
182,2009,8,5,3,2,740
183,2009,9,10,2,2,1380
184,2009,9,11,2,1,170
185,2009,9,13,4,1,880
186,2009,9,14,4,3,800
187,2009,9,15,4,3,905
188,2009,9,27,4,1,1260
189,2010,7,15,4,1,1555
190,2010,7,20,4,1,1705
191,2010,7,21,4,2,1140
192,2010,7,22,4,1,180
193,2010,8,29,3,1,1955
194,2010,9,19,5,1,1410
195,2010,9,2,3,1,1200
196,2010,9,20,5,2,930
197,2010,10,20,6,1,785
198,2010,10,21,6,2,2185
199,2010,10,22,6,1,155
200,2011,6,10,2,1,1295
201,2011,6,20,2,1,1930
202,2011,6,22,2,2,1720
203,2011,6,23,2,1,620
204,2011,7,28,3,2,1770
205,2011,7,29,3,1,150
206,2011,9,27,4,1,1120
207,2011,9,28,4,2,680
208,2011,9,29,4,3,1180
209,2011,9,30,4,1,365
210,2011,10,2,5,1,1200
211,2011,10,3,5,2,750
212,2012,6,17,3,1,1820
213,2012,6,18,3,2,700
214,2012,6,19,3,1,620
215,2012,6,28,2,1,1120
216,2012,6,29,2,3,500
217,2012,6,30,2,3,455
218,2012,7,21,5,1,2260
219,2012,7,23,5,4,1165
220,2012,7,24,5,5,1350
221,2012,8,15,4,1,1050
222,2012,8,16,4,3,1000
223,2012,8,17,4,2,605
224,2012,8,24,5,1,2520
225,2013,6,21,2,2,1530
226,2013,6,22,2,1,125
227,2013,6,30,3,1,965
228,2013,7,1,3,2,955
229,2013,7,17,2,1,980
230,2013,7,2,3,1,270
231,2013,8,1,3,2,2195
232,2013,8,12,6,1,755
233,2013,8,13,6,2,1260
234,2013,8,14,6,3,1440
235,2013,8,15,6,1,900
236,2013,9,21,6,2,1920
237,2013,9,22,6,3,345
238,2013,9,23,6,3,600
239,2013,11,1,5,1,3330
240,2014,6,14,2,1,1180
241,2014,7,16,6,1,995
242,2014,7,17,6,2,1645
243,2014,7,18,6,1,480
244,2014,9,14,4,1,785
245,2014,9,15,4,3,1320
246,2014,9,16,4,2,930
247,2014,9,7,1,1,1410
248,2015,6,21,2,1,2040
249,2015,7,8,4,1,1500
250,2015,7,9,4,3,1270
251,2015,10,2,5,1,820
252,2015,10,3,5,2,2060
253,2015,10,4,5,1,520
254,2016,5,26,1,1,480
255,2016,5,27,1,2,1030
256,2016,7,26,3,1,880
257,2016,7,31,4,1,810
258,2016,8,1,4,3,1020
259,2016,8,17,2,2,1425
